query_id,question_type,strategy,mode,context_precision@5,context_recall@5,top5_jaccard_overlap
auto-V-10-Q-2025-07-30-2,deep context,fixed,vector,0.2,0.5,0.765
auto-V-10-Q-2025-07-30-2,deep context,fixed,bm25,0.4,1.0,0.617
auto-V-10-Q-2025-07-30-2,deep context,fixed,hybrid,0.4,1.0,0.66
auto-V-10-Q-2025-07-30-2,deep context,fixed,hybrid+rerank,0.2,0.5,0.47
auto-V-10-Q-2025-07-30-2,deep context,section,vector,0.2,0.5,0.633
auto-V-10-Q-2025-07-30-2,deep context,section,bm25,0.2,0.5,0.608
auto-V-10-Q-2025-07-30-2,deep context,section,hybrid,0.2,0.5,0.578
auto-V-10-Q-2025-07-30-2,deep context,section,hybrid+rerank,0.2,0.5,0.608
auto-V-10-Q-2025-07-30-2,deep context,semantic,vector,0.2,1.0,0.454
auto-V-10-Q-2025-07-30-2,deep context,semantic,bm25,0.2,1.0,0.575
auto-V-10-Q-2025-07-30-2,deep context,semantic,hybrid,0.2,1.0,0.454
auto-V-10-Q-2025-07-30-2,deep context,semantic,hybrid+rerank,0.2,1.0,0.575
auto-V-10-Q-2025-07-30-2,deep context,hierarchical,vector,0.2,1.0,0.454
auto-V-10-Q-2025-07-30-2,deep context,hierarchical,bm25,0.2,1.0,0.575
auto-V-10-Q-2025-07-30-2,deep context,hierarchical,hybrid,0.2,1.0,0.575
auto-V-10-Q-2025-07-30-2,deep context,hierarchical,hybrid+rerank,0.2,1.0,0.575
auto-V-8-K-2025-08-08-5,simple fact,fixed,vector,0.4,1.0,0.243
auto-V-8-K-2025-08-08-5,simple fact,fixed,bm25,0.4,1.0,0.326
auto-V-8-K-2025-08-08-5,simple fact,fixed,hybrid,0.4,1.0,0.231
auto-V-8-K-2025-08-08-5,simple fact,fixed,hybrid+rerank,0.4,1.0,0.201
auto-V-8-K-2025-08-08-5,simple fact,section,vector,0.2,1.0,0.208
auto-V-8-K-2025-08-08-5,simple fact,section,bm25,0.2,1.0,0.198
auto-V-8-K-2025-08-08-5,simple fact,section,hybrid,0.2,1.0,0.168
auto-V-8-K-2025-08-08-5,simple fact,section,hybrid+rerank,0.2,1.0,0.167
auto-V-8-K-2025-08-08-5,simple fact,semantic,vector,0.2,1.0,0.394
auto-V-8-K-2025-08-08-5,simple fact,semantic,bm25,0.2,1.0,0.169
auto-V-8-K-2025-08-08-5,simple fact,semantic,hybrid,0.2,1.0,0.147
auto-V-8-K-2025-08-08-5,simple fact,semantic,hybrid+rerank,0.2,1.0,0.144
auto-V-8-K-2025-08-08-5,simple fact,hierarchical,vector,0.2,1.0,0.394
auto-V-8-K-2025-08-08-5,simple fact,hierarchical,bm25,0.2,1.0,0.169
auto-V-8-K-2025-08-08-5,simple fact,hierarchical,hybrid,0.2,1.0,0.147
auto-V-8-K-2025-08-08-5,simple fact,hierarchical,hybrid+rerank,0.2,1.0,0.144
auto-MA-10-Q-2025-05-01-0,simple fact,fixed,vector,0.0,0.0,0.228
auto-MA-10-Q-2025-05-01-0,simple fact,fixed,bm25,0.2,1.0,0.406
auto-MA-10-Q-2025-05-01-0,simple fact,fixed,hybrid,0.2,1.0,0.402
auto-MA-10-Q-2025-05-01-0,simple fact,fixed,hybrid+rerank,0.2,1.0,0.448
auto-MA-10-Q-2025-05-01-0,simple fact,section,vector,0.2,1.0,0.477
auto-MA-10-Q-2025-05-01-0,simple fact,section,bm25,0.2,1.0,0.463
auto-MA-10-Q-2025-05-01-0,simple fact,section,hybrid,0.2,1.0,0.526
auto-MA-10-Q-2025-05-01-0,simple fact,section,hybrid+rerank,0.2,1.0,0.494
auto-MA-10-Q-2025-05-01-0,simple fact,semantic,vector,0.0,0.0,0.534
auto-MA-10-Q-2025-05-01-0,simple fact,semantic,bm25,0.2,1.0,0.376
auto-MA-10-Q-2025-05-01-0,simple fact,semantic,hybrid,0.0,0.0,0.639
auto-MA-10-Q-2025-05-01-0,simple fact,semantic,hybrid+rerank,0.2,1.0,0.363
auto-MA-10-Q-2025-05-01-0,simple fact,hierarchical,vector,0.0,0.0,0.534
auto-MA-10-Q-2025-05-01-0,simple fact,hierarchical,bm25,0.2,1.0,0.655
auto-MA-10-Q-2025-05-01-0,simple fact,hierarchical,hybrid,0.0,0.0,0.639
auto-MA-10-Q-2025-05-01-0,simple fact,hierarchical,hybrid+rerank,0.2,1.0,0.363
auto-MA-8-K-2025-11-10-0,simple fact,fixed,vector,0.4,1.0,0.078
auto-MA-8-K-2025-11-10-0,simple fact,fixed,bm25,0.4,1.0,0.183
auto-MA-8-K-2025-11-10-0,simple fact,fixed,hybrid,0.4,1.0,0.087
auto-MA-8-K-2025-11-10-0,simple fact,fixed,hybrid+rerank,0.4,1.0,0.203
auto-MA-8-K-2025-11-10-0,simple fact,section,vector,0.2,1.0,0.113
auto-MA-8-K-2025-11-10-0,simple fact,section,bm25,0.2,1.0,0.19
auto-MA-8-K-2025-11-10-0,simple fact,section,hybrid,0.2,1.0,0.144
auto-MA-8-K-2025-11-10-0,simple fact,section,hybrid+rerank,0.2,1.0,0.201
auto-MA-8-K-2025-11-10-0,simple fact,semantic,vector,0.2,1.0,0.126
auto-MA-8-K-2025-11-10-0,simple fact,semantic,bm25,0.2,1.0,0.125
auto-MA-8-K-2025-11-10-0,simple fact,semantic,hybrid,0.2,1.0,0.152
auto-MA-8-K-2025-11-10-0,simple fact,semantic,hybrid+rerank,0.2,1.0,0.124
auto-MA-8-K-2025-11-10-0,simple fact,hierarchical,vector,0.2,1.0,0.126
auto-MA-8-K-2025-11-10-0,simple fact,hierarchical,bm25,0.2,1.0,0.08
auto-MA-8-K-2025-11-10-0,simple fact,hierarchical,hybrid,0.2,1.0,0.176
auto-MA-8-K-2025-11-10-0,simple fact,hierarchical,hybrid+rerank,0.2,1.0,0.115
auto-V-10-Q-2025-07-30-4,simple fact,fixed,vector,0.2,0.5,0.188
auto-V-10-Q-2025-07-30-4,simple fact,fixed,bm25,0.0,0.0,0.281
auto-V-10-Q-2025-07-30-4,simple fact,fixed,hybrid,0.0,0.0,0.363
auto-V-10-Q-2025-07-30-4,simple fact,fixed,hybrid+rerank,0.4,1.0,0.272
auto-V-10-Q-2025-07-30-4,simple fact,section,vector,0.0,0.0,0.245
auto-V-10-Q-2025-07-30-4,simple fact,section,bm25,0.0,0.0,0.222
